,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score
301,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71,287,335,291,913
302,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46,403,385,388,1176
303,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35,348,381,359,1088
304,17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,38,377,404,372,1153
305,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73,338,349,340,1027
306,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61,362,375,368,1105
307,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69,457,462,441,1360
308,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,54,386,391,369,1146
309,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79,418,441,414,1273
310,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63,388,382,373,1143
311,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48,385,393,373,1151
312,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335,1063
313,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165,476,481,479,1436
314,17K600,CLARA BARTON HIGH SCHOOL,259,425,413,413,1251
315,17K625,PAUL ROBESON HIGH SCHOOL,53,365,363,355,1083
316,17K751,ACADEMY FOR HEALTH CAREERS,NA,NA,NA,NA,NA
317,18K563,IT TAKES A VILLAGE ACADEMY,56,313,320,330,963
318,18K566,BROOKLYN GENERATION SCHOOL,29,374,377,394,1145
319,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54,383,358,377,1118
320,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43,368,378,346,1092
321,18K576,VICTORY COLLEGIATE HIGH SCHOOL,63,387,377,379,1143
322,18K578,BROOKLYN BRIDGE ACADEMY,17,384,362,351,1097
323,18K589,ARTS & MEDIA PREPARATORY ACADEMY,48,361,360,359,1080
324,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37,404,393,386,1183
325,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33,393,395,381,1169
326,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75,386,380,393,1159
327,18K635,OLYMPUS ACADEMY,7,400,370,370,1140
328,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35,363,381,367,1111
329,18K642,URBAN ACTION ACADEMY,40,376,385,374,1135
330,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378,1191
331,19K409,EAST NEW YORK FAMILY ACADEMY,54,416,432,394,1242
332,19K420,FRANKLIN K. LANE HIGH SCHOOL,NA,NA,NA,NA,NA
333,19K431,THOMAS JEFFERSON YABC,NA,NA,NA,NA,NA
334,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37,341,349,333,1023
335,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47,363,349,342,1054
336,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61,380,386,383,1149
337,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68,371,365,370,1106
338,19K583,MULTICULTURAL HIGH SCHOOL,29,279,322,286,887
339,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182,395,418,380,1193
340,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354,1096
341,19K639,BROOKLYN LAB SCHOOL,57,360,385,363,1108
342,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368,1129
343,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,369,363,1102
344,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38,383,400,374,1157
345,20K445,NEW UTRECHT HIGH SCHOOL,456,402,471,399,1272
346,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424,1323
347,20K490,FORT HAMILTON HIGH SCHOOL,694,417,478,411,1306
348,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375,1244
349,20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,NA,NA,NA,NA,NA
350,20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316,1131
351,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314,1026
352,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,427,408,1237
353,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378,1164
354,21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393,1226
355,21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,NA,NA,NA,NA,NA
356,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,NA,NA,NA,NA,NA
357,21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467,1431
358,21K540,JOHN DEWEY HIGH SCHOOL,448,404,468,390,1262
359,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,384,375,365,1124
360,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356,1079
361,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376,1184
362,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435,1313
363,21K728,LIBERATION DIPLOMA PLUS,10,411,369,373,1153
364,22K405,MIDWOOD HIGH SCHOOL,824,478,519,476,1473
365,22K425,JAMES MADISON HIGH SCHOOL,518,436,475,439,1350
366,22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370,1145
367,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542,1627
368,22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440,1352
369,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,409,387,1185
370,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359,1091
371,23K643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331,1018
372,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311,993
373,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332,1028
374,23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388,1196
375,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,421,1280
376,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400,1219
377,24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407,1240
378,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311,951
379,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550,1663
380,24Q455,NEWTOWN HIGH SCHOOL,320,383,440,380,1203
381,24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,NA,NA,NA,NA,NA
382,24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396,1211
383,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385,1177
384,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329,1064
385,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380,1174
386,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440,1330
387,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406,1270
388,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423,1364
389,24Q744,VOYAGES PREPARATORY,NA,NA,NA,NA,NA
390,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443,1396
391,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318,1049
392,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392,1271
393,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481,1441
394,25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395,1243
395,25Q460,FLUSHING HIGH SCHOOL,347,393,441,382,1216
396,25Q467,FLUSHING YABC,9,378,373,344,1095
397,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638,1910
398,25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388,1168
399,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441,1330
400,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377,1177
401,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888,480,545,489,1514
402,26Q430,FRANCIS LEWIS HIGH SCHOOL,934,468,539,467,1474
403,26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,1172
404,26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,1449
405,26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,1279
406,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,1145
407,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,1252
408,27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,1156
409,27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,1265
410,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,1094
411,27Q323,SCHOLARS' ACADEMY,89,499,537,496,1532
412,27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,1108
413,27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,1134
414,27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,1154
415,27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,1192
416,27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,1345
417,28Q284,YORK EARLY COLLEGE ACADEMY,NA,NA,NA,NA,NA
418,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,1265
419,28Q325,HILLSIDE ARTS & LETTERS ACADEMY,NA,NA,NA,NA,NA
420,28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,1178
421,28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,1307
422,28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,1407
423,28Q470,JAMAICA HIGH SCHOOL,90,342,368,353,1063
424,28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,1194
425,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,1372
426,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,1538
427,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,NA,NA,NA,NA,NA
428,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,1868
429,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,1196
430,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,1316
431,29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,1099
432,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,1173
433,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,1202
434,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424,1287
435,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363,1100
436,29Q326,CAMBRIA HEIGHTS ACADEMY,NA,NA,NA,NA,NA
437,29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,400,426,394,1220
438,29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377,1139
439,29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359,1152
440,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,381,377,1151
441,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",NA,NA,NA,NA,NA
442,30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405,1255
443,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412,1275
444,30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,395,1218
445,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174,504,496,494,1494
446,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398,1239
447,30Q555,NEWCOMERS HIGH SCHOOL,143,323,475,329,1127
448,30Q575,ACADEMY OF AMERICAN STUDIES,135,487,492,491,1470
449,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,524,568,544,1636
450,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450,1353
451,31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61,398,412,385,1195
452,31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466,1426
453,31R440,NEW DORP HIGH SCHOOL,391,424,437,416,1277
454,31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,417,1279
455,31R450,CURTIS HIGH SCHOOL,375,437,435,429,1301
456,31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470,1418
457,31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459,1388
458,31R470,CONCORD HIGH SCHOOL,10,466,455,414,1335
459,31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397,1235
460,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636,1953
461,31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370,1150
462,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352,1098
463,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,384,409,361,1154
464,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334,1035
465,32K552,ACADEMY OF URBAN PLANNING,67,342,364,354,1060
466,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422,1315
467,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350,1055
468,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358,1034
469,75K371,P.S. 371 s LILLIAN L. RASHKIS,NA,NA,NA,NA,NA
470,75M035,P.S. 035,NA,NA,NA,NA,NA
471,75Q256,P.S. Q256,NA,NA,NA,NA,NA
472,75Q811,P.S. Q811,32,429,444,433,1306
473,75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,NA,NA,NA,NA,NA
474,75X012,P.S. X012 LEWIS AND CLARK SCHOOL,NA,NA,NA,NA,NA
475,75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,NA,NA,NA,NA,NA
476,79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,NA,NA,NA,NA,NA
477,79Q950,GED PLUS s CITYWIDE,8,496,400,426,1322
478,79X490,PHOENIX ACADEMY,9,367,370,360,1097
